Madrid,40.4169,-3.7033,Spain,ES,Madrid,primary,6211000,3266126
Barcelona,41.3828,2.1769,Spain,ES,Catalonia,admin,4800000,1620343
Valencia,39.4700,-0.3764,Spain,ES,Valencia,admin,1595000,807693
Sevilla,37.3900,-5.9900,Spain,ES,Andalusia,admin,1100000,684025
Málaga,36.7194,-4.4200,Spain,ES,Andalusia,minor,967250,586384
Bilbao,43.2569,-2.9236,Spain,ES,Basque Country,minor,775000,346096
Zaragoza,41.6500,-0.8833,Spain,ES,Aragon,admin,682513,682513
Murcia,37.9861,-1.1303,Spain,ES,Murcia,admin,672773,469177
Las Palmas,28.1258,-15.4353,Spain,ES,Canary Islands,admin,635000,635000
Palma,39.5667,2.6500,Spain,ES,Balearic Islands,admin,550000,423350
Santa Cruz,28.4667,-16.2500,Spain,ES,Canary Islands,admin,538000,209395
Alicante,38.3453,-0.4831,Spain,ES,Valencia,minor,349282,349282
Córdoba,37.8845,-4.7796,Spain,ES,Andalusia,minor,323763,323763
Valladolid,41.6528,-4.7236,Spain,ES,Castille-Leon,admin,297459,297459
Vigo,42.2314,-8.7124,Spain,ES,Galicia,,293652,293652
Gijón,43.5333,-5.7000,Spain,ES,Asturias,,268313,268313
Vitoria-Gasteiz,42.8500,-2.6833,Spain,ES,Basque Country,admin,255886,255886
A Coruña,43.3650,-8.4100,Spain,ES,Galicia,minor,247604,247604
Elche,38.2669,-0.6983,Spain,ES,Valencia,,238293,238293
Granada,37.1781,-3.6008,Spain,ES,Andalusia,minor,230595,230595
Badalona,41.4489,2.2461,Spain,ES,Catalonia,,225957,225957
Tarrasa,41.5700,2.0130,Spain,ES,Catalonia,,225277,225277
Petrel,38.4789,-0.7967,Spain,ES,Valencia,,218843,33914
Sabadell,41.5486,2.1075,Spain,ES,Catalonia,,218300,218300
Cartagena,37.6000,-0.9833,Spain,ES,Murcia,,218050,218050
Oviedo,43.3600,-5.8450,Spain,ES,Asturias,admin,217584,217584
Jerez de la Frontera,36.6817,-6.1378,Spain,ES,Andalusia,,213231,213231
Móstoles,40.3333,-3.8667,Spain,ES,Madrid,,209639,208761
Pamplona,42.8167,-1.6500,Spain,ES,Navarre,admin,205762,205762
Almería,36.8403,-2.4681,Spain,ES,Andalusia,minor,200578,200578
Alcalá de Henares,40.4667,-3.3667,Spain,ES,Madrid,,196888,196888
Leganés,40.3281,-3.7644,Spain,ES,Madrid,,190665,190665
Donostia,43.3214,-1.9856,Spain,ES,Basque Country,minor,188743,188743
Fuenlabrada,40.2833,-3.8000,Spain,ES,Madrid,,188736,188736
Getafe,40.3047,-3.7311,Spain,ES,Madrid,,185899,185899
Castellón de la Plana,39.9831,-0.0331,Spain,ES,Valencia,minor,176238,176238
Burgos,42.3500,-3.7067,Spain,ES,Castille-Leon,minor,174451,174451
Albacete,38.9956,-1.8558,Spain,ES,Castille-La Mancha,minor,173206,173206
Santander,43.4628,-3.8050,Spain,ES,Cantabria,admin,172726,172726
Alcorcón,40.3500,-3.8333,Spain,ES,Madrid,,171772,171772
Guadalajara,40.6337,-3.1674,Spain,ES,Castille-La Mancha,minor,161683,89010
La Laguna,28.4853,-16.3167,Spain,ES,Canary Islands,,159034,159034
Marbella,36.5167,-4.8833,Spain,ES,Andalusia,,156295,156295
Logroño,42.4650,-2.4456,Spain,ES,La Rioja,admin,150583,150583
Badajoz,38.8803,-6.9753,Spain,ES,Extremadura,minor,150190,150190
Salamanca,40.9650,-5.6642,Spain,ES,Castille-Leon,minor,143954,143954
Lleida,41.6167,0.6333,Spain,ES,Catalonia,minor,143094,143094
Huelva,37.2500,-6.9500,Spain,ES,Andalusia,minor,142532,142532
Dos Hermanas,37.2836,-5.9222,Spain,ES,Andalusia,,138981,138981
Tarragona,41.1175,1.2528,Spain,ES,Catalonia,minor,138262,138262
Parla,40.2372,-3.7742,Spain,ES,Madrid,,133004,133004
Mataró,41.5333,2.4500,Spain,ES,Catalonia,,129120,128956
Torrejón de Ardoz,40.4614,-3.4978,Spain,ES,Madrid,,127132,127132
Algeciras,36.1275,-5.4539,Spain,ES,Andalusia,,123639,123639
León,42.6056,-5.5700,Spain,ES,Castille-Leon,minor,122051,120951
Alcobendas,40.5333,-3.6333,Spain,ES,Madrid,,117041,117041
Jaén,37.7667,-3.7711,Spain,ES,Andalusia,minor,111888,111888
Cádiz,36.5350,-6.2975,Spain,ES,Andalusia,minor,111811,111811
Reus,41.1560,1.1080,Spain,ES,Catalonia,,108479,108479
Roquetas de Mar,36.7642,-2.6147,Spain,ES,Andalusia,,106510,106510
Girona,41.9844,2.8211,Spain,ES,Catalonia,minor,104320,104320
Ourense,42.3364,-7.8633,Spain,ES,Galicia,minor,104250,104250
Telde,27.9833,-15.4167,Spain,ES,Canary Islands,,102769,102472
San Vicente de Baracaldo,43.2972,-2.9917,Spain,ES,Basque Country,,101229,101229
Vaciamadrid,40.3394,-3.5181,Spain,ES,Madrid,,100250,100250
Santiago de Compostela,42.8778,-8.5444,Spain,ES,Galicia,admin,98687,98687
Las Rozas de Madrid,40.4917,-3.8733,Spain,ES,Madrid,,98086,98086
San Cugat del Vallés,41.4667,2.0833,Spain,ES,Catalonia,,97530,97530
San Fernando,36.4667,-6.2000,Spain,ES,Andalusia,,93927,93927
San Sebastián de los Reyes,40.5469,-3.6258,Spain,ES,Madrid,,92734,92734
Torrevieja,37.9778,-0.6833,Spain,ES,Valencia,,89290,89290
Torrente,39.4389,-0.4656,Spain,ES,Valencia,,87295,87295
Ciudad de Melilla,35.3000,-2.9500,Spain,ES,Melilla,,86261,85170
Toledo,39.8567,-4.0244,Spain,ES,Castille-La Mancha,admin,86070,86070
Fuengirola,36.5417,-4.6250,Spain,ES,Andalusia,,85598,85598
Arona,28.1000,-16.6667,Spain,ES,Canary Islands,,85249,85249
San Baudilio de Llobregat,41.3360,2.0430,Spain,ES,Catalonia,,83919,83919
Ciudad de Ceuta,35.8883,-5.3156,Spain,ES,Ceuta,,83039,83039
Valdemoro,40.1908,-3.6742,Spain,ES,Madrid,,81394,81394
Rubí,41.4933,2.0325,Spain,ES,Catalonia,,80044,80044
Manresa,41.7294,1.8272,Spain,ES,Catalonia,,78877,78877
Gandía,38.9667,-0.1833,Spain,ES,Valencia,,78108,78108
Benalmádena,36.6000,-4.5167,Spain,ES,Andalusia,,75801,75801
Avilés,43.5561,-5.9083,Spain,ES,Asturias,,75518,75518
Paterna,39.5028,-0.4406,Spain,ES,Valencia,,73488,73488
Majadahonda,40.4728,-3.8722,Spain,ES,Madrid,,72548,72548
Benidorm,38.5342,-0.1314,Spain,ES,Valencia,,72342,72342
Torremolinos,36.6218,-4.5003,Spain,ES,Andalusia,,70434,70434
Castelldefels,41.2860,1.9820,Spain,ES,Catalonia,,68427,68427
Villanueva y Geltrú,41.2242,1.7256,Spain,ES,Catalonia,,68152,68152
Viladecáns,41.3158,2.0197,Spain,ES,Catalonia,,66677,66677
Collado-Villalba,40.6333,-4.0083,Spain,ES,Madrid,,65657,65657
El Prat de Llobregat,41.3333,2.1000,Spain,ES,Catalonia,,65516,65516
Arrecife,28.9625,-13.5506,Spain,ES,Canary Islands,,64497,63750
La Línea de la Concepción,36.1681,-5.3486,Spain,ES,Andalusia,,63773,63773
Granollers,41.6080,2.2880,Spain,ES,Catalonia,,63092,63092
Irún,43.3378,-1.7888,Spain,ES,Basque Country,,62920,62920
Boadilla del Monte,40.4069,-3.8750,Spain,ES,Madrid,,62627,62627
San Vicente del Raspeig,38.3964,-0.5253,Spain,ES,Valencia,,59928,59928
Mérida,38.9000,-6.3333,Spain,ES,Extremadura,admin,59461,59461
Elda,38.4789,-0.7967,Spain,ES,Valencia,,53034,53034
Ibiza,38.9089,1.4328,Spain,ES,Balearic Islands,,51996,51996
Mollet,41.5390,2.2130,Spain,ES,Catalonia,,51824,51824
Torrelavega,43.3531,-4.0458,Spain,ES,Cantabria,,51361,51361
Rincón de la Victoria,36.7167,-4.2833,Spain,ES,Andalusia,,51300,51300
Figueras,42.2667,2.9650,Spain,ES,Catalonia,,47879,47879
Gavá,41.3072,2.0039,Spain,ES,Catalonia,,47593,47593
Vich,41.9303,2.2547,Spain,ES,Catalonia,,47545,47545
Mairena del Aljarafe,37.3333,-6.0667,Spain,ES,Andalusia,,47541,47541
Esplugas de Llobregat,41.3767,2.0858,Spain,ES,Catalonia,,46921,46921
Santurce-Antiguo,43.3303,-3.0314,Spain,ES,Basque Country,,46057,46057
San Felíu de Llobregat,41.3833,2.0439,Spain,ES,Catalonia,,46056,46056
Mislata,39.4750,-0.4156,Spain,ES,Valencia,,45644,45644
Portugalete,43.3194,-3.0194,Spain,ES,Basque Country,,44629,44629
Alcantarilla,37.9722,-1.2094,Spain,ES,Murcia,,43049,43049
Blanes,41.6760,2.7930,Spain,ES,Catalonia,,41653,41653
Igualada,41.5833,1.6167,Spain,ES,Catalonia,,41164,41164
Villafranca del Panadés,41.3447,1.6994,Spain,ES,Catalonia,,40714,40714
Burjasot,39.5064,-0.4067,Spain,ES,Valencia,,39702,39702
Vendrell,41.2203,1.5347,Spain,ES,Catalonia,,39601,39601
San Fernando de Henares,40.4256,-3.5353,Spain,ES,Madrid,,38974,38974
Arucas,28.1188,-15.5231,Spain,ES,Canary Islands,,38601,38601
Ripollet,41.4969,2.1574,Spain,ES,Catalonia,,38347,38347
Olot,42.1833,2.4833,Spain,ES,Catalonia,,37975,37975
San Adrián de Besós,41.4285,2.2230,Spain,ES,Catalonia,,37925,37925
Moncada,41.4872,2.1878,Spain,ES,Catalonia,,36891,36891
Cambrils,41.0667,1.0583,Spain,ES,Catalonia,,36496,36496
Arroyomolinos,40.2667,-3.9000,Spain,ES,Madrid,,35972,35972
Azuqueca de Henares,40.5647,-3.2681,Spain,ES,Castille-La Mancha,,35236,35182
San Juan Despí,41.3681,2.0581,Spain,ES,Catalonia,,34568,34568
Aldaya,39.4639,-0.4628,Spain,ES,Valencia,,33376,33376
Salt,41.9761,2.7881,Spain,ES,Catalonia,,32517,32517
Manises,39.4833,-0.4500,Spain,ES,Valencia,,31573,31573
Calafell,41.2020,1.5700,Spain,ES,Catalonia,,30631,30631
Salou,41.0770,1.1440,Spain,ES,Catalonia,,30224,30224
Alacuás,39.4583,-0.4628,Spain,ES,Valencia,,29825,29825
Durango,43.1689,-2.6300,Spain,ES,Basque Country,,29767,29767
Catarroja,39.4028,-0.4044,Spain,ES,Valencia,,29316,29316
